seed,N,MixingLevel,metric_name,value
1,10,1,pr_auc,0.5
1,10,1,fp_per_scenario,2.0
1,10,1,fp_per_user,0.2222222222222222
1,10,1,top1,0.0
1,10,1,top3,1.0
1,10,1,top5,1.0
1,10,2,tau,0.019107031449675592
1,10,2,alpha,0.1
1,10,2,m_pred,3.0
1,10,2,acc,0.8
1,10,2,precision,0.3333333333333333
1,10,2,recall,1.0
1,10,2,f1,0.5
1,10,2,roc_auc,0.7777777777777778
1,10,2,pr_auc,0.3333333333333333
1,10,2,fp_per_scenario,2.0
1,10,2,fp_per_user,0.2222222222222222
1,10,2,top1,0.0
1,10,2,top3,1.0
1,10,2,top5,1.0
1,10,3,tau,0.011736721522174805
1,10,3,alpha,0.1
1,10,3,m_pred,3.0
1,10,3,acc,0.8
1,10,3,precision,0.3333333333333333
1,10,3,recall,1.0
1,10,3,f1,0.5
1,10,3,roc_auc,0.7777777777777778
1,10,3,pr_auc,0.3333333333333333
1,10,3,fp_per_scenario,2.0
1,10,3,fp_per_user,0.2222222222222222
1,10,3,top1,0.0
1,10,3,top3,1.0
1,10,3,top5,1.0
1,10,4,tau,0.02048122708220035
1,10,4,alpha,0.1
1,10,4,m_pred,3.0
1,10,4,acc,0.8
1,10,4,precision,0.3333333333333333
1,10,4,recall,1.0
1,10,4,f1,0.5
1,10,4,roc_auc,1.0
1,10,4,pr_auc,1.0
1,10,4,fp_per_scenario,2.0
1,10,4,fp_per_user,0.2222222222222222
1,10,4,top1,1.0
1,10,4,top3,1.0
1,10,4,top5,1.0
1,10,5,tau,0.014534959162119786
1,10,5,alpha,0.1
1,10,5,m_pred,3.0
1,10,5,acc,0.8
1,10,5,precision,0.3333333333333333
1,10,5,recall,1.0
1,10,5,f1,0.5
1,10,5,roc_auc,1.0
1,10,5,pr_auc,1.0
1,10,5,fp_per_scenario,2.0
1,10,5,fp_per_user,0.2222222222222222
1,10,5,top1,1.0
1,10,5,top3,1.0
1,10,5,top5,1.0
1,20,0,tau,0.06376959793269764
1,20,0,alpha,0.05
1,20,0,m_pred,3.0
1,20,0,acc,0.9
1,20,0,precision,0.3333333333333333
1,20,0,recall,1.0
1,20,0,f1,0.5
1,20,0,roc_auc,1.0
1,20,0,pr_auc,1.0
1,20,0,fp_per_scenario,2.0
1,20,0,fp_per_user,0.10526315789473684
1,20,0,top1,1.0
1,20,0,top3,1.0
1,20,0,top5,1.0
1,20,1,tau,0.024905163003131756
1,20,1,alpha,0.05
1,20,1,m_pred,3.0
1,20,1,acc,0.9
1,20,1,precision,0.3333333333333333
1,20,1,recall,1.0
1,20,1,f1,0.5
1,20,1,roc_auc,0.8947368421052632
1,20,1,pr_auc,0.3333333333333333
1,20,1,fp_per_scenario,2.0
1,20,1,fp_per_user,0.10526315789473684
1,20,1,top1,0.0
1,20,1,top3,1.0
1,20,1,top5,1.0
1,20,2,tau,0.02348321378231049
1,20,2,alpha,0.05
1,20,2,m_pred,3.0
1,20,2,acc,0.8
1,20,2,precision,0.0
1,20,2,recall,0.0
1,20,2,f1,0.0
1,20,2,roc_auc,0.8421052631578947
1,20,2,pr_auc,0.25
1,20,2,fp_per_scenario,3.0
1,20,2,fp_per_user,0.15789473684210525
1,20,2,top1,0.0
1,20,2,top3,0.0
1,20,2,top5,1.0
1,20,3,tau,0.01821058086352423
1,20,3,alpha,0.05
1,20,3,m_pred,3.0
1,20,3,acc,0.9
1,20,3,precision,0.3333333333333333
